The Stranger,2020,18+,7.3/10,76/100,NETFLIX,non-existing,non-existing,non-existing
Virgin River,2019,16+,7.4/10,76/100,NETFLIX,non-existing,non-existing,non-existing
Lilyhammer,2012,18+,8.0/10,76/100,NETFLIX,non-existing,non-existing,non-existing
Dirty John,2018,18+,7.2/10,76/100,NETFLIX,non-existing,non-existing,non-existing
TURN: Washington's Spies,2014,16+,8.1/10,76/100,NETFLIX,non-existing,non-existing,non-existing
Star Trek: Enterprise,2001,7+,7.5/10,76/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Merlin,2008,7+,7.9/10,75/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
The Magicians,2015,16+,7.6/10,75/100,NETFLIX,non-existing,non-existing,non-existing
Ginny & Georgia,2021,16+,7.5/10,75/100,NETFLIX,non-existing,non-existing,non-existing
The Spy,2019,18+,7.9/10,75/100,NETFLIX,non-existing,non-existing,non-existing
On My Block,2018,16+,8.0/10,75/100,NETFLIX,non-existing,non-existing,non-existing
The Movies That Made Us,2019,18+,7.8/10,75/100,NETFLIX,non-existing,non-existing,non-existing
Biohackers,2020,18+,6.8/10,75/100,NETFLIX,non-existing,non-existing,non-existing
The Seven Deadly Sins,2014,16+,8.0/10,75/100,NETFLIX,non-existing,non-existing,non-existing
The Keepers,2017,16+,8.1/10,75/100,NETFLIX,non-existing,non-existing,non-existing
F is for Family,2015,18+,8.0/10,74/100,NETFLIX,non-existing,non-existing,non-existing
The Midnight Gospel,2020,18+,8.2/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Ragnarok,2020,18+,7.5/10,74/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
Legacies,2018,16+,7.4/10,74/100,NETFLIX,non-existing,non-existing,non-existing
The Order,2019,18+,6.8/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Disenchantment,2018,16+,7.2/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Dead Set,2008,18+,7.6/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Dirty Money,2018,16+,8.1/10,74/100,NETFLIX,non-existing,non-existing,non-existing
The Staircase,2005,16+,7.9/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Soul Eater,2008,16+,7.8/10,74/100,NETFLIX,HULU,non-existing,non-existing
Into the Night,2020,18+,7.1/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Julie and the Phantoms,2020,7+,8.5/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Leyla ile Mecnun,2011,7+,9.1/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Living with Yourself,2019,18+,7.2/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Hilda,2018,7+,8.6/10,74/100,NETFLIX,non-existing,non-existing,non-existing
The Mechanism,2018,18+,8.4/10,74/100,NETFLIX,non-existing,non-existing,non-existing
ERASED,2016,16+,8.5/10,74/100,NETFLIX,HULU,non-existing,non-existing
Formula 1: Drive to Survive,2019,16+,8.6/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.0/10,74/100,NETFLIX,non-existing,non-existing,non-existing
Kim's Convenience,2016,16+,8.2/10,73/100,NETFLIX,non-existing,non-existing,non-existing
The Society,2019,18+,7.1/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Imposters,2017,16+,7.8/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Frequency,2016,7+,7.5/10,73/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
Wentworth,2013,18+,8.6/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Marvel's Iron Fist,2017,18+,6.5/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Bleach,2004,18+,8.1/10,73/100,NETFLIX,HULU,non-existing,non-existing
Quantico,2015,16+,6.7/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Shooter,2016,16+,7.5/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Pokémon,1997,7+,7.5/10,73/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Hollywood,2020,18+,7.5/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Madam Secretary,2014,16+,7.6/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Last Tango in Halifax,2012,16+,8.3/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Safe,2018,18+,7.3/10,73/100,NETFLIX,HULU,non-existing,non-existing
Resurrection: Ertugrul,2014,16+,8.0/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Versailles,2015,18+,7.9/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Sex/Life,2021,18+,5.4/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Fullmetal Alchemist,2003,16+,8.5/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Marianne,2019,18+,7.5/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Five Came Back,2017,16+,8.3/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.7/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Abstract: The Art of Design,2017,16+,8.4/10,73/100,NETFLIX,non-existing,non-existing,non-existing
Teenage Bounty Hunters,2020,18+,7.7/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Documentary Now!,2015,18+,8.1/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Special,2019,18+,7.6/10,72/100,NETFLIX,non-existing,non-existing,non-existing
JoJo's Bizarre Adventure,2012,18+,8.4/10,72/100,NETFLIX,HULU,non-existing,non-existing
Manhunt,2017,16+,8.1/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Your Lie in April,2014,7+,8.6/10,72/100,NETFLIX,HULU,non-existing,non-existing
Code Geass: Lelouch of the Rebellion,2006,18+,8.7/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Middleditch & Schwartz,2020,18+,8.6/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Zoo,2015,16+,6.7/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Jupiters Legacy,2021,18+,6.7/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Ratched,2020,18+,7.3/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Babylon Berlin,2017,18+,8.4/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Everything Sucks!,2018,16+,7.5/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Evil Genius,2018,18+,7.5/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Doctor Foster,2015,16+,7.7/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Marcella,2016,18+,7.4/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Survivor,2000,7+,7.2/10,72/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Derek,2013,7+,8.0/10,72/100,NETFLIX,non-existing,non-existing,non-existing
3%,2016,18+,7.4/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Tuca & Bertie,2019,18+,7.4/10,72/100,NETFLIX,non-existing,non-existing,non-existing
Parasyte -the maxim-,2014,18+,8.3/10,72/100,NETFLIX,HULU,non-existing,non-existing
Last Chance U,2016,16+,8.4/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Trailer Park Boys,2001,18+,8.5/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Black Lightning,2018,16+,6.1/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Chicago Med,2015,16+,7.6/10,71/100,NETFLIX,HULU,non-existing,non-existing
How to Sell Drugs Online (Fast),2019,18+,7.9/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Secret City,2016,18+,7.4/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Dynasty,2017,16+,7.3/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Dracula,2020,18+,6.8/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Space Force,2020,18+,6.7/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Pretend It's a City,2021,16+,8.1/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Masters of the Universe: Revelation,2021,7+,4.9/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Who Killed Sara?,2021,18+,6.4/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Sword Art Online,2012,18+,7.6/10,71/100,NETFLIX,HULU,non-existing,non-existing
Paranormal,2020,7+,8.5/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Frontier,2016,18+,7.2/10,71/100,NETFLIX,non-existing,non-existing,non-existing
The Politician,2019,16+,7.5/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Raising Dion,2019,7+,7.2/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Food Wars! Shokugeki no Soma,2015,18+,8.2/10,71/100,NETFLIX,HULU,non-existing,non-existing
Crash Landing on You,2019,16+,8.7/10,71/100,NETFLIX,non-existing,non-existing,non-existing
Seven Seconds,2018,18+,7.7/10,71/100,NETFLIX,non-existing,non-existing,non-existing
The Great British Bake Off,2010,7+,8.5/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Wizards: Tales of Arcadia,2020,7+,8.2/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Conversations with a Killer: The Ted Bundy Tapes,2019,18+,7.8/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Fate: The Winx Saga,2021,18+,6.9/10,70/100,NETFLIX,non-existing,non-existing,non-existing
The Circle,2020,18+,7.3/10,70/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
Cheer,2020,16+,8.1/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Hemlock Grove,2013,18+,7.1/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Transformers: War for Cybertron: Siege,2020,16+,7.4/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Explained,2018,16+,8.0/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Messiah,2020,18+,7.6/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Sky Rojo,2021,18+,6.5/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Bonding,2019,18+,7.2/10,70/100,NETFLIX,non-existing,non-existing,non-existing
I'm Sorry,2017,7+,8.0/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Katla,2021,18+,7.1/10,70/100,NETFLIX,non-existing,non-existing,non-existing
It's Okay to Not Be Okay,2020,16+,8.8/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Forensic Files,1996,16+,8.8/10,70/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Workin' Moms,2017,18+,7.6/10,70/100,NETFLIX,non-existing,non-existing,non-existing
The Toys That Made Us,2017,16+,8.1/10,70/100,NETFLIX,non-existing,non-existing,non-existing
The Devil Next Door,2019,18+,7.6/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Kipo and the Age of Wonderbeasts,2020,7+,8.4/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Night Stalker: The Hunt For a Serial Killer,2021,18+,7.5/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Glitch,2015,16+,7.3/10,70/100,NETFLIX,non-existing,non-existing,non-existing
Great Pretender,2020,18+,8.0/10,69/100,NETFLIX,non-existing,non-existing,non-existing
InuYasha,2000,16+,7.9/10,69/100,NETFLIX,HULU,non-existing,non-existing
In the Dark,2019,16+,7.5/10,69/100,NETFLIX,non-existing,non-existing,non-existing
GHOUL,2018,18+,7.1/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Nailed It!,2018,7+,7.4/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Voltron: Legendary Defender,2016,7+,8.1/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Trollhunters: Tales of Arcadia,2016,7+,8.4/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Sweet Magnolias,2020,16+,7.4/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Medici: Masters of Florence,2016,7+,7.9/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Aggretsuko,2018,16+,8.1/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Jurassic World: Camp Cretaceous,2020,7+,7.5/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Rake,2010,16+,8.5/10,69/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
The Gift,2019,18+,7.2/10,69/100,NETFLIX,HULU,non-existing,non-existing
Violet Evergarden,2018,16+,8.5/10,69/100,NETFLIX,non-existing,non-existing,non-existing
3Below: Tales of Arcadia,2018,7+,7.7/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Jeffrey Epstein: Filthy Rich,2020,18+,7.1/10,69/100,NETFLIX,non-existing,non-existing,non-existing
Dawson's Creek,1998,7+,6.6/10,69/100,NETFLIX,HULU,non-existing,non-existing
Private Practice,2007,16+,6.7/10,69/100,NETFLIX,HULU,non-existing,non-existing
