Marcella,2016,18,7.4,7.2,1,0,0,0
Survivor,2000,7,7.2,7.2,1,1,1,0
Derek,2013,7,8,7.2,1,0,0,0
3%,2016,18,7.4,7.2,1,0,0,0
Tuca & Bertie,2019,18,7.4,7.2,1,0,0,0
Parasyte -the maxim-,2014,18,8.3,7.2,1,1,0,0
Last Chance U,2016,16,8.4,7.1,1,0,0,0
Trailer Park Boys,2001,18,8.5,7.1,1,0,0,0
Black Lightning,2018,16,6.1,7.1,1,0,0,0
Chicago Med,2015,16,7.6,7.1,1,1,0,0
How to Sell Drugs Online (Fast),2019,18,7.9,7.1,1,0,0,0
Secret City,2016,18,7.4,7.1,1,0,0,0
Dynasty,2017,16,7.3,7.1,1,0,0,0
Dracula,2020,18,6.8,7.1,1,0,0,0
Space Force,2020,18,6.7,7.1,1,0,0,0
Pretend It's a City,2021,16,8.1,7.1,1,0,0,0
Masters of the Universe: Revelation,2021,7,4.9,7.1,1,0,0,0
Who Killed Sara?,2021,18,6.4,7.1,1,0,0,0
Sword Art Online,2012,18,7.6,7.1,1,1,0,0
Paranormal,2020,7,8.5,7.1,1,0,0,0
Frontier,2016,18,7.2,7.1,1,0,0,0
The Politician,2019,16,7.5,7.1,1,0,0,0
Raising Dion,2019,7,7.2,7.1,1,0,0,0
Food Wars! Shokugeki no Soma,2015,18,8.2,7.1,1,1,0,0
Crash Landing on You,2019,16,8.7,7.1,1,0,0,0
Seven Seconds,2018,18,7.7,7.1,1,0,0,0
The Great British Bake Off,2010,7,8.5,7,1,0,0,0
Wizards: Tales of Arcadia,2020,7,8.2,7,1,0,0,0
Conversations with a Killer: The Ted Bundy Tapes,2019,18,7.8,7,1,0,0,0
Fate: The Winx Saga,2021,18,6.9,7,1,0,0,0
The Circle,2020,18,7.3,7,1,0,1,0
Cheer,2020,16,8.1,7,1,0,0,0
Hemlock Grove,2013,18,7.1,7,1,0,0,0
Transformers: War for Cybertron: Siege,2020,16,7.4,7,1,0,0,0
Explained,2018,16,8,7,1,0,0,0
Messiah,2020,18,7.6,7,1,0,0,0
Sky Rojo,2021,18,6.5,7,1,0,0,0
Bonding,2019,18,7.2,7,1,0,0,0
I'm Sorry,2017,7,8,7,1,0,0,0
Katla,2021,18,7.1,7,1,0,0,0
It's Okay to Not Be Okay,2020,16,8.8,7,1,0,0,0
Forensic Files,1996,16,8.8,7,1,1,1,0
Workin' Moms,2017,18,7.6,7,1,0,0,0
The Toys That Made Us,2017,16,8.1,7,1,0,0,0
The Devil Next Door,2019,18,7.6,7,1,0,0,0
Kipo and the Age of Wonderbeasts,2020,7,8.4,7,1,0,0,0
Night Stalker: The Hunt For a Serial Killer,2021,18,7.5,7,1,0,0,0
Glitch,2015,16,7.3,7,1,0,0,0
Great Pretender,2020,18,8,6.9,1,0,0,0
InuYasha,2000,16,7.9,6.9,1,1,0,0
In the Dark,2019,16,7.5,6.9,1,0,0,0
GHOUL,2018,18,7.1,6.9,1,0,0,0
Nailed It!,2018,7,7.4,6.9,1,0,0,0
Voltron: Legendary Defender,2016,7,8.1,6.9,1,0,0,0
Trollhunters: Tales of Arcadia,2016,7,8.4,6.9,1,0,0,0
